Province_State,Last_Update,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Testing_Rate,Date
Virginia,2021-01-03 05:30:33,358755,5117,4203.083608624151,1.426321584368162,50822.205421837854,2021-01-02
Washington,2021-01-03 05:30:33,246752,3461,3240.3869627583736,1.402622876410323,50385.73752776303,2021-01-02
West Virginia,2021-01-03 05:30:33,89327,1373,4984.356751985189,1.5370492684182837,86608.96678676472,2021-01-02
Wisconsin,2021-01-03 05:30:33,523652,5256,8993.695763661726,1.0037200278047254,9.279064391283782e-06,2021-01-02
Wyoming,2021-01-03 05:30:33,44573,438,7701.478508325573,0.9826576627106096,86699.99084247503,2021-01-02
Alabama,2022-01-03 02:33:49,909541,16455,18550.00372207045,1.8091542877121536,NULL,2022-01-02
Alaska,2022-01-03 02:33:49,157169,978,21484.52931808706,0.6222601149081561,503824.3717064569,2022-01-02
American Samoa,2022-01-03 02:33:49,10,0,17.97235851260761,0.0,3846.084721698028,2022-01-02
Arizona,2022-01-03 02:33:49,1390409,24355,19102.3912593387,1.7516428619204854,215422.33335902463,2022-01-02
Arkansas,2022-01-03 02:33:49,572822,9196,18981.41827633604,1.6053852680239236,147175.62837082858,2022-01-02
California,2022-01-03 02:33:49,5567223,76448,14092.899809762665,1.374232322357984,304530.0564334232,2022-01-02
Colorado,2022-01-03 02:33:49,1015092,10840,16136.787656180106,1.1052702375507788,246676.6839111916,2022-01-02
Connecticut,2022-01-03 02:33:49,510188,9160,14309.871827990286,1.795416591530965,335026.4368618852,2022-01-02
Delaware,2022-01-03 02:33:49,186996,2286,19203.42095209928,1.2224860424821922,2.871493503559384e-05,2022-01-02
Diamond Princess,2022-01-03 02:33:49,49,0,NULL,0.0,NULL,2022-01-02
District of Columbia,2022-01-03 02:33:49,94286,1211,13359.707204686085,1.2843900473028869,377677.7579564406,2022-01-02
Florida,2022-01-03 02:33:49,4209927,62504,19601.352786841555,1.484681325828215,217808.6965121139,2022-01-02
Georgia,2022-01-03 02:33:49,1839879,31443,17328.86595928221,1.708971079076396,132590.45062064493,2022-01-02
Grand Princess,2022-01-03 02:33:49,103,3,NULL,2.912621359223301,NULL,2022-01-02
Guam,2022-01-03 02:33:49,19618,270,11945.515103909784,1.3762870832908554,167660.40102539747,2022-01-02
Hawaii,2022-01-03 02:33:49,118820,1094,8392.00153686209,0.9207204174381416,214753.16977805903,2022-01-02
Idaho,2022-01-03 02:33:49,319382,4162,17871.873714722184,1.303141692393435,60897.78491548992,2022-01-02
Illinois,2022-01-03 02:33:49,2149574,31017,16963.213100942634,1.4074586843373584,350933.2241987951,2022-01-02
Indiana,2022-01-03 02:33:49,1246854,19037,18520.6987473224,1.5268026569269535,2.4731278052600487e-05,2022-01-02
Iowa,2022-01-03 02:33:49,575501,7858,18240.514473529907,1.365419000140747,57949.80776971668,2022-01-02
